active_addresses,day
676970,2024-12-05 00:00:00.000 UTC
589965,2024-12-06 00:00:00.000 UTC
523610,2024-12-07 00:00:00.000 UTC
500125,2024-12-08 00:00:00.000 UTC
548216,2024-12-09 00:00:00.000 UTC
637675,2024-12-10 00:00:00.000 UTC
617470,2024-12-11 00:00:00.000 UTC
642364,2024-12-12 00:00:00.000 UTC
622795,2024-12-13 00:00:00.000 UTC
547369,2024-12-14 00:00:00.000 UTC
540458,2024-12-15 00:00:00.000 UTC
628256,2024-12-16 00:00:00.000 UTC
587954,2024-12-17 00:00:00.000 UTC
583494,2024-12-18 00:00:00.000 UTC
634201,2024-12-19 00:00:00.000 UTC
640919,2024-12-20 00:00:00.000 UTC
516724,2024-12-21 00:00:00.000 UTC
477330,2024-12-22 00:00:00.000 UTC
528562,2024-12-23 00:00:00.000 UTC
543737,2024-12-24 00:00:00.000 UTC
465830,2024-12-25 00:00:00.000 UTC
488027,2024-12-26 00:00:00.000 UTC
568491,2024-12-27 00:00:00.000 UTC
513627,2024-12-28 00:00:00.000 UTC
473129,2024-12-29 00:00:00.000 UTC
546525,2024-12-30 00:00:00.000 UTC
545226,2024-12-31 00:00:00.000 UTC
469907,2025-01-01 00:00:00.000 UTC
536380,2025-01-02 00:00:00.000 UTC
580295,2025-01-03 00:00:00.000 UTC
514542,2025-01-04 00:00:00.000 UTC
477491,2025-01-05 00:00:00.000 UTC
552853,2025-01-06 00:00:00.000 UTC
534902,2025-01-07 00:00:00.000 UTC
545473,2025-01-08 00:00:00.000 UTC
551516,2025-01-09 00:00:00.000 UTC
555568,2025-01-10 00:00:00.000 UTC
493249,2025-01-11 00:00:00.000 UTC
478511,2025-01-12 00:00:00.000 UTC
527738,2025-01-13 00:00:00.000 UTC
555701,2025-01-14 00:00:00.000 UTC
562242,2025-01-15 00:00:00.000 UTC
552616,2025-01-16 00:00:00.000 UTC
609680,2025-01-17 00:00:00.000 UTC
548842,2025-01-18 00:00:00.000 UTC
581783,2025-01-19 00:00:00.000 UTC
611602,2025-01-20 00:00:00.000 UTC
576233,2025-01-21 00:00:00.000 UTC
563549,2025-01-22 00:00:00.000 UTC
559392,2025-01-23 00:00:00.000 UTC
555323,2025-01-24 00:00:00.000 UTC
511720,2025-01-25 00:00:00.000 UTC
468656,2025-01-26 00:00:00.000 UTC
536812,2025-01-27 00:00:00.000 UTC
526609,2025-01-28 00:00:00.000 UTC
536881,2025-01-29 00:00:00.000 UTC
563296,2025-01-30 00:00:00.000 UTC
573439,2025-01-31 00:00:00.000 UTC
547935,2025-02-01 00:00:00.000 UTC
493628,2025-02-02 00:00:00.000 UTC
594368,2025-02-03 00:00:00.000 UTC
533328,2025-02-04 00:00:00.000 UTC
549667,2025-02-05 00:00:00.000 UTC
556045,2025-02-06 00:00:00.000 UTC
547120,2025-02-07 00:00:00.000 UTC
495839,2025-02-08 00:00:00.000 UTC
458208,2025-02-09 00:00:00.000 UTC
506613,2025-02-10 00:00:00.000 UTC
527970,2025-02-11 00:00:00.000 UTC
524478,2025-02-12 00:00:00.000 UTC
554663,2025-02-13 00:00:00.000 UTC
555377,2025-02-14 00:00:00.000 UTC
477804,2025-02-15 00:00:00.000 UTC
439615,2025-02-16 00:00:00.000 UTC
481660,2025-02-17 00:00:00.000 UTC
505134,2025-02-18 00:00:00.000 UTC
504103,2025-02-19 00:00:00.000 UTC
528371,2025-02-20 00:00:00.000 UTC
539519,2025-02-21 00:00:00.000 UTC
481127,2025-02-22 00:00:00.000 UTC
401326,2025-02-23 00:00:00.000 UTC
502389,2025-02-24 00:00:00.000 UTC
593035,2025-02-25 00:00:00.000 UTC
551543,2025-02-26 00:00:00.000 UTC
559896,2025-02-27 00:00:00.000 UTC
639072,2025-02-28 00:00:00.000 UTC
537836,2025-03-01 00:00:00.000 UTC
502727,2025-03-02 00:00:00.000 UTC
574112,2025-03-03 00:00:00.000 UTC
572404,2025-03-04 00:00:00.000 UTC
553078,2025-03-05 00:00:00.000 UTC
582748,2025-03-06 00:00:00.000 UTC
575231,2025-03-07 00:00:00.000 UTC
490883,2025-03-08 00:00:00.000 UTC
468930,2025-03-09 00:00:00.000 UTC
561709,2025-03-10 00:00:00.000 UTC
555241,2025-03-11 00:00:00.000 UTC
537117,2025-03-12 00:00:00.000 UTC
548027,2025-03-13 00:00:00.000 UTC
558541,2025-03-14 00:00:00.000 UTC
483791,2025-03-15 00:00:00.000 UTC
440113,2025-03-16 00:00:00.000 UTC
511393,2025-03-17 00:00:00.000 UTC
520295,2025-03-18 00:00:00.000 UTC
523411,2025-03-19 00:00:00.000 UTC
538831,2025-03-20 00:00:00.000 UTC
542212,2025-03-21 00:00:00.000 UTC
463441,2025-03-22 00:00:00.000 UTC
426405,2025-03-23 00:00:00.000 UTC
542967,2025-03-24 00:00:00.000 UTC
537122,2025-03-25 00:00:00.000 UTC
551044,2025-03-26 00:00:00.000 UTC
546962,2025-03-27 00:00:00.000 UTC
555511,2025-03-28 00:00:00.000 UTC
491095,2025-03-29 00:00:00.000 UTC
448719,2025-03-30 00:00:00.000 UTC
536232,2025-03-31 00:00:00.000 UTC
577514,2025-04-01 00:00:00.000 UTC
561040,2025-04-02 00:00:00.000 UTC
576014,2025-04-03 00:00:00.000 UTC
568202,2025-04-04 00:00:00.000 UTC
491184,2025-04-05 00:00:00.000 UTC
468284,2025-04-06 00:00:00.000 UTC
561611,2025-04-07 00:00:00.000 UTC
560880,2025-04-08 00:00:00.000 UTC
553979,2025-04-09 00:00:00.000 UTC
559680,2025-04-10 00:00:00.000 UTC
574940,2025-04-11 00:00:00.000 UTC
504592,2025-04-12 00:00:00.000 UTC
462176,2025-04-13 00:00:00.000 UTC
531418,2025-04-14 00:00:00.000 UTC
550447,2025-04-15 00:00:00.000 UTC
543868,2025-04-16 00:00:00.000 UTC
545463,2025-04-17 00:00:00.000 UTC
515291,2025-04-18 00:00:00.000 UTC
471005,2025-04-19 00:00:00.000 UTC
423501,2025-04-20 00:00:00.000 UTC
493497,2025-04-21 00:00:00.000 UTC
569472,2025-04-22 00:00:00.000 UTC
546332,2025-04-23 00:00:00.000 UTC
569544,2025-04-24 00:00:00.000 UTC
595178,2025-04-25 00:00:00.000 UTC
486529,2025-04-26 00:00:00.000 UTC
449535,2025-04-27 00:00:00.000 UTC
513794,2025-04-28 00:00:00.000 UTC
526875,2025-04-29 00:00:00.000 UTC
558027,2025-04-30 00:00:00.000 UTC
555978,2025-05-01 00:00:00.000 UTC
613024,2025-05-02 00:00:00.000 UTC
515129,2025-05-03 00:00:00.000 UTC
446086,2025-05-04 00:00:00.000 UTC
531866,2025-05-05 00:00:00.000 UTC
526918,2025-05-06 00:00:00.000 UTC
559339,2025-05-07 00:00:00.000 UTC
592200,2025-05-08 00:00:00.000 UTC
603052,2025-05-09 00:00:00.000 UTC
503409,2025-05-10 00:00:00.000 UTC
467124,2025-05-11 00:00:00.000 UTC
532366,2025-05-12 00:00:00.000 UTC
534996,2025-05-13 00:00:00.000 UTC
535429,2025-05-14 00:00:00.000 UTC
540778,2025-05-15 00:00:00.000 UTC
539052,2025-05-16 00:00:00.000 UTC
474172,2025-05-17 00:00:00.000 UTC
432228,2025-05-18 00:00:00.000 UTC
